,artist,date,genre,style,title,filename,20,res_all,res_fc,vgg_all,vgg_fc,vgg_last,res_all_acc,res_fc_acc,vgg_all_acc,vgg_fc_acc,vgg_last_acc,all_true
13,Jacques Hérold,1938,portrait,Surrealism,Pretty Blonde,6678.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1940-1959,1920-1939,True,False,True,False,True,False
14,Vincent van Gogh,1888,sketch and study,Post-Impressionism,Field with Flowers,47623.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,1860-1879,True,False,True,True,False,False
15,Alfred Sisley,1877,landscape,Impressionism,The Sevres Bridge,42701.jpg,1860-1879,1860-1879,1900-1919,1880-1899,1880-1899,1860-1879,True,False,False,False,True,False
16,Pablo Picasso,1932,genre painting,Surrealism,Bather with beach ball,31878.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
17,Zinaida Serebriakova,1927,nude painting (nu),Expressionism,Nude ,58018.jpg,1920-1939,1900-1919,1900-1919,1900-1919,1920-1939,1860-1879,False,False,False,True,False,False
18,Jack Bush,1943,cityscape,Social Realism,"North York, Toronto ",24940.jpg,1940-1959,1920-1939,1900-1919,1920-1939,1940-1959,1900-1919,False,False,False,True,False,False
19,Rene Magritte,1927,symbolic painting,Surrealism,The meaning of night,29693.jpg,1920-1939,1900-1919,1900-1919,1920-1939,1920-1939,1880-1899,False,False,True,True,False,False
20,Ken Danby,1974,portrait,Photorealism,Leather Hat,77111.jpg,1960-1979,1860-1879,1860-1879,1880-1899,1880-1899,1920-1939,False,False,False,False,False,False
21,Arman Manookian,1928,genre painting,Naïve Art (Primitivism),Hawaiian Boy and Girl,47130.jpg,1920-1939,1920-1939,1920-1939,1900-1919,1900-1919,1920-1939,True,True,False,False,True,False
22,Winston Churchill,1921,cityscape,Impressionism,View of Jerusalem,34859.jpg,1920-1939,1880-1899,1900-1919,1900-1919,1900-1919,1880-1899,False,False,False,False,False,False
23,Wyndham Lewis,1933,portrait,Expressionism,The Convalescent  ,7791.jpg,1920-1939,1940-1959,1920-1939,1920-1939,1920-1939,1940-1959,False,True,True,True,False,False
24,Nicholas Roerich,1925,symbolic painting,Symbolism,Saraha – the Blessed Arrow,17345.jpg,1920-1939,1900-1919,1900-1919,1920-1939,1900-1919,1900-1919,False,False,True,False,False,False
25,Henryk Siemiradzki,1895,genre painting,Academicism,By a Pool,34235.jpg,1880-1899,1860-1879,1900-1919,1880-1899,1880-1899,1880-1899,False,False,True,True,True,False
26,Umberto Boccioni,1908,landscape,Divisionism,April Evening,32091.jpg,1900-1919,1880-1899,1900-1919,1880-1899,1880-1899,1900-1919,False,True,False,False,True,False
27,Eugene Boudin,1895,cityscape,Impressionism,Venice,2443.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,1900-1919,True,False,True,True,False,False
28,Berthe Morisot,1875,genre painting,Impressionism,Girl and Child on the Grass,46412.jpg,1860-1879,1880-1899,1900-1919,1880-1899,1880-1899,1860-1879,False,False,False,False,True,False
29,John Singer Sargent,1911,genre painting,Impressionism,Simplon Pass. Reading,68643.jpg,1900-1919,1860-1879,1900-1919,1920-1939,1920-1939,1920-1939,False,True,False,False,False,False
30,John Singer Sargent,1889,genre painting,Impressionism,Autumn on the River,31727.jpg,1880-1899,1860-1879,1900-1919,1920-1939,1900-1919,1900-1919,False,False,False,False,False,False
31,Friedel Dzubas,1964,abstract,Color Field Painting,Cassia,18675.jpg,1960-1979,1960-1979,1960-1979,1960-1979,1940-1959,1960-1979,True,True,True,False,True,False
32,Childe Hassam,1886,marina,Impressionism,Isle of Shoals,50045.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1880-1899,1880-1899,True,False,False,True,True,False
33,Thomas Downing,1962,abstract,Op Art,Untitled,85097.jpg,1960-1979,1960-1979,1960-1979,1940-1959,1940-1959,1960-1979,True,True,False,False,True,False
34,Henri Rousseau,1886,genre painting,Post-Impressionism,Rendez Vous in the Forest ,11153.jpg,1880-1899,1880-1899,1940-1959,1880-1899,1860-1879,1860-1879,True,False,True,False,False,False
35,Carlo Carra,1924,landscape,Post-Impressionism,San-Giacomo-di-Varallo ,59738.jpg,1920-1939,1920-1939,1900-1919,1900-1919,1900-1919,1920-1939,True,False,False,False,True,False
36,Leon Underwood,1922,portrait,Realism,Charles Ashdown  ,80555.jpg,1920-1939,1920-1939,1920-1939,1880-1899,1900-1919,1920-1939,True,True,False,False,True,False
37,Carlos Saenz de Tejada,1918,nude painting (nu),Impressionism,Nude model,35800.jpg,1900-1919,1880-1899,1900-1919,1880-1899,1900-1919,1900-1919,False,True,False,True,True,False
38,Niko Pirosmani,1906,genre painting,Naïve Art (Primitivism),Easter Festival,88901.jpg,1900-1919,1940-1959,1900-1919,1940-1959,1920-1939,1960-1979,False,True,False,False,False,False
39,Raja Ravi Varma,1910,mythological painting,Academicism,Ganga Avataran or Descent of Ganga ,86576.jpg,1900-1919,1880-1899,1860-1879,1900-1919,1900-1919,1960-1979,False,False,True,True,False,False
40,Emil Nolde,1942,flower painting,Expressionism,Large Poppies,14610.jpg,1940-1959,1920-1939,1980-1999,1960-1979,1960-1979,1980-1999,False,False,False,False,False,False
41,Martiros Saryan,1911,sketch and study,Expressionism,Egyptian woman,66425.jpg,1900-1919,1900-1919,1900-1919,1940-1959,1900-1919,1920-1939,True,True,False,True,False,False
42,John Singer Sargent,1905,landscape,Realism,Gourds ,58144.jpg,1900-1919,1880-1899,1880-1899,1940-1959,1880-1899,1900-1919,False,False,False,False,True,False
43,Aleksey Savrasov,1869,landscape,Realism,Winter Night,19376.jpg,1860-1879,1880-1899,1900-1919,1860-1879,1880-1899,1860-1879,False,False,True,False,True,False
44,Victor Borisov-Musatov,1900,genre painting,Post-Impressionism,Silence (Indoors),10010.jpg,1900-1919,1860-1879,1900-1919,1880-1899,1900-1919,1900-1919,False,True,False,True,True,False
45,Paul Cezanne,1879,still life,Post-Impressionism,Dish of Apples,36173.jpg,1860-1879,1860-1879,1900-1919,1920-1939,1920-1939,1920-1939,True,False,False,False,False,False
46,Laszlo Moholy-Nagy,1923,abstract,Constructivism,Construction,47888.jpg,1920-1939,1940-1959,1960-1979,1960-1979,1960-1979,1900-1919,False,False,False,False,False,False
47,Alekos Kontopoulos ,1972,figurative,Surrealism,Balcony with Flowers,71972.jpg,1960-1979,1920-1939,1900-1919,1940-1959,1900-1919,1960-1979,False,False,False,False,True,False
48,Unichi Hiratsuka,1935,animal painting,Sōsaku hanga,Strolling Bird,55312.jpg,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,True,True,True,True,True,True
49,Aleksey Savrasov,1888,landscape,Realism,Early Spring,20476.jpg,1880-1899,1860-1879,1900-1919,1860-1879,1860-1879,1860-1879,False,False,False,False,False,False
50,Martiros Saryan,1923,portrait,Expressionism,Portrait of the poet Yeghishe Charents,92492.jpg,1920-1939,1920-1939,1920-1939,1940-1959,1920-1939,1940-1959,True,True,False,True,False,False
51,Pierre-Auguste Renoir,1871,portrait,Impressionism,Madame Marie Octavie Bernier,54656.jpg,1860-1879,1920-1939,1900-1919,1880-1899,1860-1879,1860-1879,False,False,False,True,True,False
52,Edgar Degas,1886,nude painting (nu),Impressionism,After the Bath,72591.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1900-1919,1880-1899,True,False,False,False,True,False
53,Paul Gauguin,1889,still life,Japonism,"Still life with onions, beetroot and Japanese print",31220.jpg,1880-1899,1900-1919,1900-1919,1880-1899,1880-1899,1880-1899,False,False,True,True,True,False
54,Marc Chagall,1915,genre painting,Naïve Art (Primitivism),The Poet Reclining,34867.jpg,1900-1919,1900-1919,1900-1919,1880-1899,1880-1899,1860-1879,True,True,False,False,False,False
55,Friedensreich Hundertwasser,1971,abstract,Transautomatism,470A  Relations of a Spider,60629.jpg,1960-1979,1960-1979,1900-1919,1960-1979,1940-1959,1960-1979,True,False,True,False,True,False
56,Amadeo de Souza-Cardoso,1916,genre painting,Expressionism,Popular song bird and Brazil ,46663.jpg,1900-1919,1900-1919,1960-1979,1940-1959,1920-1939,1940-1959,True,False,False,False,False,False
57,Jules Breton,1873,portrait,Realism,Woman with a Taper ,45815.jpg,1860-1879,1860-1879,1920-1939,1880-1899,1860-1879,1880-1899,True,False,False,True,False,False
58,Alexandre Istrati,1951,abstract,Tachisme,Composition,3617.jpg,1940-1959,1900-1919,1980-1999,1960-1979,1960-1979,1920-1939,False,False,False,False,False,False
59,Aristarkh Lentulov,1920,cityscape,Cubo-Futurism,Landscape with dry trees and tall buildings,3065.jpg,1920-1939,1940-1959,1900-1919,1920-1939,1900-1919,1900-1919,False,False,True,False,False,False
60,Charles M. Russell,1903,genre painting,Romanticism,The Signal ,80456.jpg,1900-1919,1900-1919,1900-1919,1860-1879,1900-1919,1880-1899,True,True,False,True,False,False
61,Egon Schiele,1910,portrait,Expressionism,Poldi Lodzinsky,7862.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,True,True,True,True,True,True
62,Konstantin Somov,1901,design,Symbolism,Exlibris of O. Preobrazenskiy,38269.jpg,1900-1919,1900-1919,1980-1999,1900-1919,1960-1979,1960-1979,True,False,True,False,False,False
63,Maurice Prendergast,1910,genre painting,Post-Impressionism,Buck's Harbor,87951.jpg,1900-1919,1900-1919,1940-1959,1900-1919,1900-1919,1940-1959,True,False,True,True,False,False
64,Yiannis Moralis,1963,nude painting (nu),Cubism,Funerary composition IV,48672.jpg,1960-1979,1940-1959,1900-1919,1940-1959,1960-1979,1940-1959,False,False,False,True,False,False
65,Rudolf von Alt,1898,landscape,Romanticism,The cemetery in Gastein,71952.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1900-1919,1920-1939,True,False,False,False,False,False
66,Ernst Ludwig Kirchner,1914,genre painting,Expressionism,Five Women on the Street,70633.jpg,1900-1919,1900-1919,1900-1919,1920-1939,1920-1939,1920-1939,True,True,False,False,False,False
67,Fields by the Sea (Le Pouldu),1889,landscape,Post-Impressionism,Breton Landscape,27589.jpg,1880-1899,1880-1899,1900-1919,1920-1939,1900-1919,1880-1899,True,False,False,False,True,False
68,Alma Woodsey Thomas,1973,abstract,Color Field Painting,Elysian Fields,34786.jpg,1960-1979,1960-1979,1980-1999,1940-1959,1960-1979,1960-1979,True,False,False,True,True,False
69,Childe Hassam,1906,landscape,Impressionism,"Moonlight, the Old House",10782.jpg,1900-1919,1900-1919,1900-1919,1940-1959,1900-1919,1900-1919,True,True,False,True,True,False
70,Vasily Surikov,1884,cityscape,Realism,Colosseum,53966.jpg,1880-1899,1920-1939,1900-1919,1900-1919,1900-1919,1900-1919,False,False,False,False,False,False
71,Pablo Picasso,1944,genre painting,Surrealism,Woman washing her feet,16969.jpg,1940-1959,1880-1899,1920-1939,1900-1919,1900-1919,1900-1919,False,False,False,False,False,False
72,Mstislav Dobuzhinsky,1906,cityscape,Symbolism,Vilnius. St. Catherine's Church.,71086.jpg,1900-1919,1860-1879,1900-1919,1960-1979,1900-1919,1880-1899,False,True,False,True,False,False
73,Mary Cassatt,1906,portrait,Impressionism,Young Boy in Blue,24777.jpg,1900-1919,1880-1899,1900-1919,1900-1919,1900-1919,1860-1879,False,True,True,True,False,False
74,Leon Underwood,1930,genre painting,Naïve Art (Primitivism),Mexican Idyll  ,35245.jpg,1920-1939,1940-1959,1900-1919,1920-1939,1920-1939,1920-1939,False,False,True,True,True,False
75,Alexey  Bogolyubov,1880,cityscape,Realism,Vel. Normandy,49985.jpg,1880-1899,1860-1879,1860-1879,1920-1939,1860-1879,1860-1879,False,False,False,False,False,False
76,Fernand Leger,1918,cityscape,Cubism,Factories,32344.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1920-1939,True,True,True,True,False,False
77,Rene Magritte,1927,symbolic painting,Surrealism,The reckless sleeper,74096.jpg,1920-1939,1940-1959,1900-1919,1940-1959,1920-1939,1940-1959,False,False,False,True,False,False
78,William James Glackens,1905,genre painting,New Realism,Central Park in Winter,93918.jpg,1900-1919,1860-1879,1880-1899,1920-1939,1860-1879,1920-1939,False,False,False,False,False,False
79,Claude Monet,1891,landscape,Impressionism,"Grainstack in the Morning, Snow Effect",2693.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1900-1919,1900-1919,True,False,True,False,False,False
80,Walter Sickert,1900,cityscape,Post-Impressionism,"The Arcades of Fish shop, Dieppe",45393.jpg,1900-1919,1920-1939,1920-1939,1900-1919,1880-1899,1920-1939,False,False,True,False,False,False
81,Mikhail Vrubel,1899,illustration,Symbolism,The Flying Demon,49504.jpg,1880-1899,1920-1939,1900-1919,1920-1939,1900-1919,1940-1959,False,False,False,False,False,False
82,Raoul Dufy,1919,design,Cubism,The Hunt (Design for fabric),85221.jpg,1900-1919,1900-1919,1980-1999,1920-1939,1900-1919,1940-1959,True,False,False,True,False,False
83,Juan Gris,1923,portrait,Cubism,Portrait of a Man,5999.jpg,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,1920-1939,True,True,True,True,True,True
84,Theophile Steinlen,1914,animal painting,Realism,Two cats,48857.jpg,1900-1919,1920-1939,1900-1919,1900-1919,1900-1919,1880-1899,False,True,True,True,False,False
85,Konstantin Bogaevsky,1907,landscape,Realism,Evening landscape,18534.jpg,1900-1919,1880-1899,1880-1899,1860-1879,1880-1899,1880-1899,False,False,False,False,False,False
86,Vasily Polenov,1876,animal painting,Realism,Horse Mishka,99806.jpg,1860-1879,1860-1879,1900-1919,1880-1899,1860-1879,1900-1919,True,False,False,True,False,False
87,Edgar Degas,1899,genre painting,Impressionism,"Two Dancers in Green Skirts, Landscape Scener",17011.jpg,1880-1899,1900-1919,1900-1919,1940-1959,1900-1919,1900-1919,False,False,False,False,False,False
88,Mikalojus Ciurlionis,1909,capriccio,Symbolism,The Demon,20144.jpg,1900-1919,1940-1959,1920-1939,1900-1919,1900-1919,1860-1879,False,False,True,True,False,False
89,Ilya Repin,1870,portrait,Realism,Burlak ,3166.jpg,1860-1879,1860-1879,1900-1919,1900-1919,1900-1919,1900-1919,True,False,False,False,False,False
90,Julius Bissier,1959,abstract,Art Informel,12.XI.59,78103.jpg,1940-1959,1920-1939,1900-1919,1960-1979,1920-1939,1940-1959,False,False,False,False,True,False
91,Edgar Degas,1900,sketch and study,Impressionism,Dancer with a Fan (study),12942.jpg,1900-1919,1880-1899,1980-1999,1880-1899,1900-1919,1860-1879,False,False,False,True,False,False
92,Mario Sironi,1920,genre painting,Metaphysical art,White horse and dock ,71458.jpg,1920-1939,1860-1879,1900-1919,1920-1939,1920-1939,1880-1899,False,False,True,True,False,False
93,Paul Jacoulet,1951,genre painting,Ukiyo-e,"M. Keen Et M. Lee. Seoul, Coree",66110.jpg,1940-1959,1940-1959,1940-1959,1920-1939,1920-1939,1940-1959,True,True,False,False,True,False
94,Martiros Saryan,1954,landscape,Post-Impressionism,Ashtarak in hazy day,52625.jpg,1940-1959,1900-1919,1980-1999,1900-1919,1900-1919,1920-1939,False,False,False,False,False,False
95,John Singer Sargent,1912,cityscape,Impressionism,Escutcheon of Charles V,71522.jpg,1900-1919,1900-1919,1900-1919,1880-1899,1880-1899,1940-1959,True,True,False,False,False,False
96,Paul Gauguin,1886,portrait,Post-Impressionism,The boss's daughter,96375.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1900-1919,1900-1919,True,False,True,False,False,False
97,Maxime Maufra,1906,landscape,Post-Impressionism,Saint-Jean-du-Doigt,97358.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1920-1939,1880-1899,True,True,True,False,False,False
98,Fernand Leger,1920,abstract,Cubism,Three women with the still life,22688.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
99,Heorhiy Narbut,1910,illustration,Art Nouveau (Modern),Illustration for the book 'How mice buried the cat' by Zhukovsky,68401.jpg,1900-1919,1940-1959,1900-1919,1920-1939,1920-1939,1960-1979,False,True,False,False,False,False
100,Laszlo Moholy-Nagy,1927,abstract,Constructivism,A 18,21583.jpg,1920-1939,1920-1939,1960-1979,1940-1959,1920-1939,1960-1979,True,False,False,True,False,False
101,Georgios Jakobides,1895,portrait,Realism,The Artist's Wife with Their Son,69845.jpg,1880-1899,1880-1899,1920-1939,1900-1919,1880-1899,1920-1939,True,False,False,True,False,False
102,John Marin,1928,marina,Expressionism,"Schooner Yachts, Deer Isle, Maine",23953.jpg,1920-1939,1920-1939,1900-1919,1940-1959,1920-1939,1900-1919,True,False,False,True,False,False
103,Ivan Shishkin,1895,sketch and study,Realism,Pines,86509.jpg,1880-1899,1860-1879,1900-1919,1880-1899,1880-1899,1880-1899,False,False,True,True,True,False
104,Franz Marc,1909,animal painting,Impressionism,Small Horse Picture,102481.jpg,1900-1919,1880-1899,1900-1919,1880-1899,1900-1919,1860-1879,False,True,False,True,False,False
105,Vincent van Gogh,1888,landscape,Post-Impressionism,Arles View from the Wheat Fields,14872.jpg,1880-1899,1880-1899,1900-1919,1880-1899,1880-1899,1880-1899,True,False,True,True,True,False
106,Mordecai Ardon,1956,symbolic painting,Surrealism,For the Fallen (Triptych),45979.jpg,1940-1959,1920-1939,1980-1999,1940-1959,1940-1959,1940-1959,False,False,True,True,True,False
107,Oyvind Fahlstrom,1966,figurative,Pop Art,Eddie (Sylvie's Brother) in the Desert,66044.jpg,1960-1979,1940-1959,1980-1999,1940-1959,1900-1919,1960-1979,False,False,False,False,True,False
108,Theophile Steinlen,1916,illustration,Art Nouveau (Modern),A bientot pour de bon,87580.jpg,1900-1919,1900-1919,1900-1919,1920-1939,1900-1919,1920-1939,True,True,False,True,False,False
109,Pierre-Auguste Renoir,1879,landscape,Impressionism,Landscape at Wargemont,79096.jpg,1860-1879,1860-1879,1880-1899,1880-1899,1880-1899,1860-1879,True,False,False,False,True,False
110,Paul Cezanne,1876,flower painting,Impressionism,Pot of Flowers,102331.jpg,1860-1879,1920-1939,1980-1999,1880-1899,1920-1939,1880-1899,False,False,False,False,False,False
111,Max Gubler,1955,landscape,Expressionism,Night-time landscape near Unterengstringen,20590.jpg,1940-1959,1940-1959,1900-1919,1920-1939,1940-1959,1920-1939,True,False,False,True,False,False
112,Ivan Shishkin,1873,landscape,Realism,Bridge ,13179.jpg,1860-1879,1860-1879,1860-1879,1880-1899,1880-1899,1860-1879,True,True,False,False,True,False
113,Santiago Rusinol,1903,landscape,Post-Impressionism,"Jardín de las Elegías, Son Moragues",14334.jpg,1900-1919,1920-1939,1880-1899,1880-1899,1920-1939,1880-1899,False,False,False,False,False,False
114,Gene Davis,1964,abstract,Color Field Painting,Hot Beat,76760.jpg,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,1960-1979,True,True,True,True,True,True
115,Vasily Vereshchagin,1895,history painting,Realism,The Return from the Petroff Palace,21189.jpg,1880-1899,1920-1939,1980-1999,1920-1939,1900-1919,1880-1899,False,False,False,False,True,False
116,Juan Gris,1914,still life,Synthetic Cubism,Still Life,14789.jpg,1900-1919,1900-1919,1900-1919,1900-1919,1900-1919,1940-1959,True,True,True,True,False,False
117,Max Slevogt,1913,cityscape,Impressionism,Unter den Linden,10421.jpg,1900-1919,1900-1919,1900-1919,1880-1899,1900-1919,1900-1919,True,True,False,True,True,False
118,Gene Davis,1969,abstract,Color Field Painting,Powwow,64502.jpg,1960-1979,1960-1979,1980-1999,1960-1979,1960-1979,1960-1979,True,False,True,True,True,False
119,Paul Cezanne,1870,landscape,Impressionism,Factories Near Mont de Cengle,28962.jpg,1860-1879,1860-1879,1860-1879,1880-1899,1900-1919,1920-1939,True,True,False,False,False,False
120,Camille Pissarro,1883,genre painting,Pointillism,Peasant Woman Warming Herself,19501.jpg,1880-1899,1880-1899,1900-1919,1900-1919,1900-1919,1860-1879,True,False,False,False,False,False
121,Pierre-Auguste Renoir,1900,portrait,Impressionism,Bust of a Girl,82285.jpg,1900-1919,1880-1899,1900-1919,1900-1919,1880-1899,1880-1899,False,True,True,False,False,False
122,Paul Cezanne,1877,cityscape,Impressionism,Orchard in Pontoise,32334.jpg,1860-1879,1900-1919,1880-1899,1880-1899,1880-1899,1900-1919,False,False,False,False,False,False
123,Arthur Dove,1912,figurative,Abstract Art,Based on Leaf Forms and Spaces,56425.jpg,1900-1919,1940-1959,1900-1919,1940-1959,1900-1919,1920-1939,False,True,False,True,False,False
124,Boris Kustodiev,1926,portrait,Realism,Portrait B.A.Gorin-Goryainov,67733.jpg,1920-1939,1920-1939,1900-1919,1900-1919,1900-1919,1900-1919,True,False,False,False,False,False
125,Martiros Saryan,1928,cityscape,Expressionism,A nook of old Yerevan,52803.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1900-1919,1900-1919,True,False,True,False,False,False
126,Tivadar Kosztka Csontvary,1902,landscape,Expressionism,View of Selemecbánya,64756.jpg,1900-1919,1900-1919,1980-1999,1880-1899,1900-1919,1940-1959,True,False,False,True,False,False
127,Samuel Peploe,1927,landscape,Post-Impressionism,"Blue Sea, Iona ",46638.jpg,1920-1939,1920-1939,1900-1919,1920-1939,1920-1939,1860-1879,True,False,True,True,False,False
128,Juan Gris,1913,still life,Synthetic Cubism,Saint Matorel,5134.jpg,1900-1919,1920-1939,1900-1919,1900-1919,1920-1939,1920-1939,False,True,True,False,False,False
129,Paul Gauguin,1893,portrait,Cloisonnism,Tehamana has many parents (The Ancestors of Tehamana),30403.jpg,1880-1899,1920-1939,1900-1919,1920-1939,1920-1939,1900-1919,False,False,False,False,False,False
130,Yiannis Tsaroychis,1934,portrait,Cubism,Portrait of young man in winter,70401.jpg,1920-1939,1940-1959,1940-1959,1900-1919,1900-1919,1920-1939,False,False,False,False,True,False
131,Robert Henri,1910,portrait,American Realism,The Dancer,58233.jpg,1900-1919,1900-1919,1900-1919,1860-1879,1900-1919,1880-1899,True,True,False,True,False,False
132,Giuseppe Santomaso,1973,abstract,Art Informel,Fuori il giallo,35774.jpg,1960-1979,1940-1959,1960-1979,1960-1979,1960-1979,1960-1979,False,True,True,True,True,False
133,On Kawara,1966,figurative,Conceptual Art,Jan. 4 1966 (from Today Series),21299.jpg,1960-1979,1960-1979,1960-1979,1940-1959,1960-1979,1940-1959,True,True,False,True,False,False
134,Pyotr Konchalovsky,1929,genre painting,Realism,Winter. Playing children.,56531.jpg,1920-1939,1920-1939,1900-1919,1900-1919,1900-1919,1920-1939,True,False,False,False,True,False
135,Laszlo Mednyanszky,1900,landscape,Impressionism,Landscape in the Alps (View from the Rax),69096.jpg,1900-1919,1900-1919,1900-1919,1860-1879,1880-1899,1920-1939,True,True,False,False,False,False
136,Max Liebermann,1901,genre painting,Impressionism,Tennis Game by the Sea,64705.jpg,1900-1919,1860-1879,1880-1899,1900-1919,1900-1919,1880-1899,False,False,True,True,False,False
137,Yasuo Kuniyoshi,1932,still life,Expressionism,Japanese Toy Tiger and Odd Objects ,34992.jpg,1920-1939,1920-1939,1900-1919,1860-1879,1940-1959,1900-1919,True,False,False,False,False,False
138,Paul Cezanne,1906,landscape,Cubism,Jourdan's Cottage ,97305.jpg,1900-1919,1920-1939,1900-1919,1880-1899,1880-1899,1960-1979,False,True,False,False,False,False
139,Leon Ferrari,1963,figurative,Conceptual Art,Untitled,52746.jpg,1960-1979,1960-1979,1900-1919,1960-1979,1940-1959,1960-1979,True,False,True,False,True,False
140,Dorothy Lathrop,1929,illustration,Art Nouveau (Modern),HITTY by Rachel Field 19,26041.jpg,1920-1939,1920-1939,1980-1999,1920-1939,1920-1939,1920-1939,True,False,True,True,True,False
141,Pablo Picasso,1896,portrait,Realism,Portrait of the Artist's Mother,88893.jpg,1880-1899,1940-1959,1900-1919,1880-1899,1900-1919,1880-1899,False,False,True,False,True,False
142,Charles Lapicque,1958,cityscape,Fauvism,Le Mont Palatin,33803.jpg,1940-1959,1900-1919,1900-1919,1960-1979,1920-1939,1900-1919,False,False,False,False,False,False
143,Tsuguharu Foujita,1956,still life,Magic Realism,Nature morte aux oiseaux,2778.jpg,1940-1959,1920-1939,1980-1999,1920-1939,1940-1959,1880-1899,False,False,False,True,False,False
144,Dorothea Tanning,1940,portrait,Surrealism,Deirdre ,45351.jpg,1940-1959,1860-1879,1860-1879,1860-1879,1880-1899,1860-1879,False,False,False,False,False,False
145,Childe Hassam,1892,genre painting,Impressionism,"A New Year's Nocturne, New York",97471.jpg,1880-1899,1860-1879,1900-1919,1880-1899,1880-1899,1920-1939,False,False,True,True,False,False
146,Pyotr Konchalovsky,1924,cityscape,Post-Impressionism,Marcus Aurelius (Rome Capitol),37742.jpg,1920-1939,1860-1879,1900-1919,1880-1899,1900-1919,1940-1959,False,False,False,False,False,False
147,Carl Larsson,1906,nude painting (nu),Art Nouveau (Modern),The Model On The Table,5771.jpg,1900-1919,1860-1879,1900-1919,1900-1919,1900-1919,1860-1879,False,True,True,True,False,False
148,Gustave Loiseau,1903,cityscape,Post-Impressionism,Port of Dieppe,15066.jpg,1900-1919,1880-1899,1900-1919,1920-1939,1880-1899,1860-1879,False,True,False,False,False,False
149,Arthur Segal,1908,self-portrait,Post-Impressionism,Selbstbildnis,19466.jpg,1900-1919,1920-1939,1920-1939,1900-1919,1920-1939,1920-1939,False,False,True,False,False,False
